"ID_MERCADO","ANIO_CORREGIDO","MES_CORREGIDO","CARGO_HORARIO","INI_FRANJA_HORARIA","FIN_FRANJA_HORARIA","ESTRATO_SECTOR","PORCENTAJE_SUB100_OR","PORCENTAJE_SUB50_OR","PORCENTAJE_SUB00_OR","TARIFA_NIVEL1_100_OR","TARIFA_NIVEL1_50_OR","TARIFA_NIVEL1_00_OR","TARIFA_NIVEL2","TARIFA_NIVEL3","TARIFA_NIVEL4","TARIFA_CFJM","TARIFA_FCH_PUBLICACION","TARIFA_DIARIO_PUBLICACION","ID_EMPRESA","EMPRESA","ANNO","PERIODO","CAR_T1668_TARIFA_OT"
"158","9,999","99","4","00:00","23:59","1","60","0","60","311.5346","0","282.1468","617.4616","562.2213","538.4778","8,296","2023 Jan 17 12:00:00 AM","Boyaca 7 Dias","500","EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS","2,023","1","1"
"158","9,999","99","4","00:00","23:59","2","50","0","50","389.41825","0","352.6835","617.4616","562.2213","538.4778","8,296","2023 Jan 17 12:00:00 AM","Boyaca 7 Dias","500","EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS","2,023","1","1"
"158","9,999","99","4","00:00","23:59","3","15","0","15","662.01103","0","599.56195","617.4616","562.2213","538.4778","8,296","2023 Jan 17 12:00:00 AM","Boyaca 7 Dias","500","EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS","2,023","1","1"
"158","9,999","99","4","00:00","23:59","4","0","0","0","778.8365","0","705.367","617.4616","562.2213","538.4778","8,296","2023 Jan 17 12:00:00 AM","Boyaca 7 Dias","500","EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS","2,023","1","1"
"158","9,999","99","4","00:00","23:59","5","0","0","0","934.6038","0","846.4404","740.95392","674.66556","646.17336","8,296","2023 Jan 17 12:00:00 AM","Boyaca 7 Dias","500","EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS","2,023","1","1"
"158","9,999","99","4","00:00","23:59","6","0","0","0","934.6038","0","846.4404","740.95392","674.66556","646.17336","8,296","2023 Jan 17 12:00:00 AM","Boyaca 7 Dias","500","EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS","2,023","1","1"
"158","9,999","99","4","00:00","23:59","7","0","0","0","934.6038","0","846.4404","740.95392","674.66556","646.17336","8,296","2023 Jan 17 12:00:00 AM","Boyaca 7 Dias","500","EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS","2,023","1","1"
"158","9,999","99","4","00:00","23:59","8","0","0","0","934.6038","0","846.4404","740.95392","674.66556","646.17336","8,296","2023 Jan 17 12:00:00 AM","Boyaca 7 Dias","500","EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS","2,023","1","1"
"158","9,999","99","4","00:00","23:59","9","0","0","0","778.8365","0","705.367","617.4616","562.2213","538.4778","8,296","2023 Jan 17 12:00:00 AM","Boyaca 7 Dias","500","EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS","2,023","1","1"
"158","9,999","99","4","00:00","23:59","10","0","0","0","677.0361","0","677.0361","617.4616","562.2213","538.4778","8,296","2023 Jan 17 12:00:00 AM","Boyaca 7 Dias","500","EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS","2,023","1","1"
"162","9,999","99","4","00:00","23:59","1","59.83","59.83","59.83","289.7871","277.5661","265.345","0","0","0","9,963.0522","2023 Jan 17 12:00:00 AM","La Patria","502","CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO","2,023","1","1"
"162","9,999","99","4","00:00","23:59","2","49.79","49.79","49.79","362.2339","346.9576","331.6813","0","0","0","9,963.0522","2023 Jan 17 12:00:00 AM","La Patria","502","CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO","2,023","1","1"
"162","9,999","99","4","00:00","23:59","3","15","15","15","613.2374","587.3756","561.5137","0","0","0","9,963.0522","2023 Jan 17 12:00:00 AM","La Patria","502","CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO","2,023","1","1"
"162","9,999","99","4","00:00","23:59","4","0","0","0","721.4558","691.0301","660.6044","607.1154","505.2542","461.6386","9,963.0522","2023 Jan 17 12:00:00 AM","La Patria","502","CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO","2,023","1","1"
"162","9,999","99","4","00:00","23:59","5","0","0","0","865.747","829.2361","792.7253","728.5385","606.305","553.9663","9,963.0522","2023 Jan 17 12:00:00 AM","La Patria","502","CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO","2,023","1","1"
"162","9,999","99","4","00:00","23:59","6","0","0","0","865.747","829.2361","792.7253","728.5385","606.305","553.9663","9,963.0522","2023 Jan 17 12:00:00 AM","La Patria","502","CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO","2,023","1","1"
"162","9,999","99","4","00:00","23:59","7","0","0","0","865.747","829.2361","792.7253","728.5385","606.305","553.9663","9,963.0522","2023 Jan 17 12:00:00 AM","La Patria","502","CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO","2,023","1","1"
"162","9,999","99","4","00:00","23:59","8","0","0","0","865.747","829.2361","792.7253","728.5385","606.305","553.9663","9,963.0522","2023 Jan 17 12:00:00 AM","La Patria","502","CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO","2,023","1","1"
"162","9,999","99","4","00:00","23:59","9","0","0","0","721.4558","691.0301","660.6044","607.1154","505.2542","461.6386","9,963.0522","2023 Jan 17 12:00:00 AM","La Patria","502","CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO","2,023","1","1"
"162","9,999","99","4","00:00","23:59","10","0","0","0","865.747","829.2361","792.7253","728.5385","606.305","553.9663","9,963.0522","2023 Jan 17 12:00:00 AM","La Patria","502","CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO","2,023","1","1"
"162","9,999","99","3","01:00","18:00","7","0","0","0","978.18672","929.4252","880.66368","812.56104","682.08672","619.8684","9,963.0522","2023 Jan 17 12:00:00 AM","La Patria","502","CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO","2,023","1","2"
"162","9,999","99","3","22:00","23:59","7","0","0","0","978.18672","929.4252","880.66368","812.56104","682.08672","619.8684","9,963.0522","2023 Jan 17 12:00:00 AM","La Patria","502","CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO","2,023","1","2"
"162","9,999","99","1","19:00","21:00","7","0","0","0","1,021.75092","972.9894","924.228","853.43088","722.37552","659.72868","9,963.0522","2023 Jan 17 12:00:00 AM","La Patria","502","CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO","2,023","1","2"
"162","9,999","99","3","01:00","18:00","8","0","0","0","978.18672","929.4252","880.66368","812.56104","682.08672","619.8684","9,963.0522","2023 Jan 17 12:00:00 AM","La Patria","502","CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO","2,023","1","2"
"162","9,999","99","3","22:00","23:59","8","0","0","0","978.18672","929.4252","880.66368","812.56104","682.08672","619.8684","9,963.0522","2023 Jan 17 12:00:00 AM","La Patria","502","CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO","2,023","1","2"
